country,happiness_score,social_support,healthy_life_expectancy,freedom_of_choices,generosity,perception_of_corruption,world_region
Kazakhstan,6.057899952,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843,Commonwealth of Independent States
Kenya,4.583000183,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159,Sub-Saharan Africa
Kuwait,6.102099895,0.846475244,66.76764679,0.872366488,-0.100184701,0.760849059,Middle East and North Africa
Kyrgyzstan,5.541500092,0.887228489,64.10601044,0.909374893,0.154772058,0.888396084,Commonwealth of Independent States
Laos,4.888599873,0.737502217,58.70992279,0.907213569,0.11137148,0.634679317,Southeast Asia
Latvia,5.949999809,0.918288589,66.8074646,0.671237648,-0.186888844,0.795580089,Central and Eastern Europe
Lebanon,4.771500111,0.824338138,67.10658264,0.551357508,-0.06121527,0.90225625,Middle East and North Africa
Lesotho,3.652800083,0.780495703,48.00362396,0.738125861,-0.145732045,0.857392073,Sub-Saharan Africa
Liberia,4.557899952,0.70928055,56.09631348,0.735268712,0.04227322,0.856375933,Sub-Saharan Africa
Libya,5.488800049,0.825942934,62.29999924,0.773157001,-0.085054487,0.668779135,Middle East and North Africa
Lithuania,6.215499878,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843,Central and Eastern Europe
Luxembourg,7.237500191,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295,Western Europe
Macedonia,5.159800053,0.820392311,67.50442505,0.738840938,-0.019877451,0.897490501,Central and Eastern Europe
Madagascar,4.165599823,0.668195903,59.10542679,0.557574093,-0.011823639,0.817485631,Sub-Saharan Africa
Malawi,3.538000107,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778,Sub-Saharan Africa
Malaysia,5.384300232,0.816509426,67.10215759,0.894626856,0.114726797,0.839302301,Southeast Asia
Mali,4.729300022,0.731468976,51.72698212,0.71156615,-0.044366926,0.839328408,Sub-Saharan Africa
Malta,6.772799969,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282,Western Europe
Mauritania,4.374599934,0.790819228,57.01017761,0.551522553,-0.106008142,0.746223509,Sub-Saharan Africa
Mauritius,6.101299763,0.910357833,66.40434265,0.889534533,-0.018318573,0.805343091,Sub-Saharan Africa
Mexico,6.465000153,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585,Latin America and Caribbean
Moldova,5.607500076,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,Commonwealth of Independent States
Mongolia,5.456200123,0.937142491,62.30448532,0.693351328,0.098093867,0.863511205,East Asia
Morocco,5.094799995,0.592628479,65.89624023,0.772072434,-0.240377247,0.815724611,Middle East and North Africa
Mozambique,4.623600006,0.723874032,54.20582199,0.864451885,0.032375868,0.683019102,Sub-Saharan Africa
Nepal,5.137199879,0.785512447,63.77917862,0.797565043,0.154168829,0.738099158,South Asia
Netherlands,7.448900223,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,Western Europe
New Zealand,7.299600124,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,North America and ANZ
Nicaragua,6.13710022,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119,Latin America and Caribbean
Niger,4.909599781,0.617435038,53.50009537,0.759772122,0.013860817,0.722530186,Sub-Saharan Africa
Nigeria,4.724100113,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342,Sub-Saharan Africa
Norway,7.487999916,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194,Western Europe
Pakistan,5.69329977,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426,South Asia
Panama,6.304800034,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,Latin America and Caribbean
Paraguay,5.692100048,0.898727894,65.63993835,0.885923445,0.007997713,0.834788501,Latin America and Caribbean
Peru,5.796800137,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964,Latin America and Caribbean
Philippines,6.006000042,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114,Southeast Asia
Poland,6.186299801,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021,Central and Eastern Europe
Portugal,5.910900116,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504,Western Europe
Romania,6.123700142,0.825161517,67.20723724,0.842823207,-0.19781521,0.934300244,Central and Eastern Europe
Russia,5.546000004,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,Commonwealth of Independent States
